United States,USD,United States dollar,$
Europe,EUR,Euro,€
Japan,JPY,Japanese yen,¥
United Kingdom,GBP,Pound sterling,£
Australia,AUD,Australian dollar,A$
Canada,CAD,Canadian dollar,CA$
Switzerland,CHF,Swiss franc,CHF
China,CNY,Renminbi,CN¥
Hong Kong,HKD,Hong Kong dollar,HK$
New Zealand,NZD,New Zealand dollar,NZ$
Sweden,SEK,Swedish krona,SEK
South Korea,KRW,South Korean won,₩
Singapore,SGD,Singapore dollar,SGD
Norway,NOK,Norwegian krone,NOK
Mexico,MXN,Mexican peso,MX$
India,INR,Indian rupee,₹
Russia,RUB,Russian ruble,RUB
South Africa,ZAR,South African rand,ZAR
Turkey,TRY,Turkish lira,TRY
Brazil,BRL,Brazilian real,R$
Taiwan,TWD,New Taiwan dollar,NT$
Denmark,DKK,Danish krone,DKK
Poland,PLN,Polish złoty,PLN
Thailand,THB,Thai baht,THB
Indonesia,IDR,Indonesian rupiah,IDR
Hungary,HUF,Hungarian forint,HUF
Czech Republic,CZK,Czech koruna,CZK
Israel,ILS,Israeli new shekel,₪
Chile,CLP,Chilean peso,CLP
Philippines,PHP,Philippine peso,₱
United Arab Emirates,AED,UAE dirham,AED
Colombia,COP,Colombian peso,COP
Saudi Arabia,SAR,Saudi riyal,SAR
Malaysia,MYR,Malaysian ringgit,MYR
Romania,RON,Romanian leu,RON
